Serial_No,Lot,Bearing_RPM_0h,Bearing_RPM_24h,Shaft_Vibration_0h,Shaft_Vibration_24h,Housing_Temp_0h,Housing_Temp_24h,Bearing_RPM_0h_Max_Limit,Shaft_Vibration_24h_Max_Limit,Housing_Temp_24h_Max_Limit
LOT-C-033,LOT-C,1488.657885368835,1441.0902472368198,2.562565152481055,2.75006177724333,65.74033003699242,67.83050232425842,1650.0,3.8,85.0
LOT-A-034,LOT-A,1431.7752939735547,1510.6288652719181,2.0260220825142876,2.775751384637968,64.22269435563841,67.60600983356517,1650.0,3.8,85.0
LOT-B-035,LOT-B,1525.1603322838696,1509.3467098819033,2.0564469278432025,1.9596250943142857,65.67600076574209,58.72944164538316,1650.0,3.8,85.0
LOT-C-036,LOT-C,1449.5037844540996,1482.2685540342181,1.9068607946443241,1.8248062546209667,63.16684559151752,63.7086136811825,1650.0,3.8,85.0
LOT-A-037,LOT-A,1440.1678771447232,1448.6184600783492,2.141845317789816,2.015681789672926,61.25005317103855,58.932969152067855,1650.0,3.8,85.0
LOT-B-038,LOT-B,1384.2607471035558,1468.2386049985175,2.381580411473347,2.6300891317225004,57.54817276358328,60.40712367836771,1650.0,3.8,85.0
LOT-C-039,LOT-C,1410.0382789111934,1409.761041583562,2.4586223753248206,2.2494481227728174,63.602298299691235,65.09685284946562,1650.0,3.8,85.0
LOT-A-040,LOT-A,1531.0064394752042,1388.502860073594,2.6663707133505135,-1195.3553815561172,61.936866214410514,56.68564003703893,1650.0,3.8,85.0
LOT-B-041,LOT-B,1431.5922474910137,1478.214285064646,2.3752564883948084,2.525937398531605,60.691774937297566,68.92647781083555,1650.0,3.8,85.0
LOT-C-042,LOT-C,1449.14109731826,1354.5825417557535,2.1923782348576526,1.869985085734322,47.368527130265576,61.00845785607013,1650.0,3.8,85.0
LOT-A-043,LOT-A,1503.3423940041089,1448.9790360574848,2.048236287778506,2.1989760421752247,67.08775953612503,64.24084512997278,1650.0,3.8,85.0
LOT-B-044,LOT-B,1897.4999999999998,1444.7546048688016,2.4115200784666038,4.369999999999999,64.48655283810234,97.74999999999999,1650.0,3.8,85.0
LOT-C-045,LOT-C,1408.2852656963996,1468.4665681262086,2.1947258766022517,2.8500306162881532,56.280271302241424,62.853181411504735,1650.0,3.8,85.0
LOT-A-046,LOT-A,1449.7056685483492,1391.3648868729463,2.9165914931569437,2.9673301655230566,59.913873072759124,67.12708947815327,1650.0,3.8,85.0
LOT-B-047,LOT-B,1465.1470427868085,1337.2305025394992,2.475119404883277,2.4803698944533603,62.374478090635385,58.43868787681226,1650.0,3.8,85.0
LOT-C-048,LOT-C,1439.2261181511838,1439.5131319379436,2.7564282651636955,2.6070166593251245,61.97500236408801,70.68615899018141,1650.0,3.8,85.0
LOT-A-049,LOT-A,1427.7900828094541,1430.6439271952338,1.854973496598282,3.002113870810756,66.33949565687493,67.80918580920502,1650.0,3.8,85.0
LOT-B-050,LOT-B,1476.7559378578776,1451.6262406818735,2.4646466817546986,2.4193578911144615,61.083798084246745,63.75522697505436,1650.0,3.8,85.0
LOT-C-051,LOT-C,1510.473180462551,1470.3388918759392,2.3824619622723415,2.3145945438581133,59.14250680664753,71.0327135525107,1650.0,3.8,85.0
LOT-A-052,LOT-A,1470.267492169084,1449.8371234490476,2.296145447354183,2.145102908255831,61.699122991385465,67.60619276200994,1650.0,3.8,85.0
LOT-B-053,LOT-B,1434.2985101265003,1437.4558115139764,2.3336896945683065,2.535070197759414,54.83145104564476,62.39362774576407,1650.0,3.8,85.0
LOT-C-054,LOT-C,1415.8241792738372,1484.1525713676294,2.168820397030542,2.6846549591362225,68.85996853727042,62.02609757197636,1650.0,3.8,85.0
LOT-A-055,LOT-A,1425.9369499150614,1455.0401548832958,2.3993912917172913,2.1820427688512924,64.0741373707102,72.97292545133442,1650.0,3.8,85.0
LOT-B-056,LOT-B,1439.6755201893711,1438.4791997652842,2.086520392929274,2.602108304539695,56.388606988815674,58.297424185548024,1650.0,3.8,85.0
LOT-C-057,LOT-C,1501.1866908737516,1408.970971505425,2.7244072707994014,2.987794561210498,63.16696905864534,66.10093959339888,1650.0,3.8,85.0
LOT-A-058,LOT-A,1528.0900377474711,1438.73740711324,2.222098260917515,2.0669660592694585,62.18768186155856,70.45197779131604,1650.0,3.8,85.0
LOT-B-059,LOT-B,1488.3838152560347,1407.4321678604458,2.143387384850221,2.3386652066108917,63.31520637122904,62.53503629261269,1650.0,3.8,85.0
LOT-C-060,LOT-C,1458.5781578177232,1459.4630538779088,2.310367923996466,2.487144338687058,62.92966569747215,63.105342393394075,1650.0,3.8,85.0
LOT-A-061,LOT-A,1470.140834599762,1525.5767824797763,2.577591685431249,2.5178593748507367,54.412466194871385,65.32339830427145,1650.0,3.8,85.0
LOT-B-062,LOT-B,1372.1328635293116,1387.8205683814429,2.6563917757406292,2.7259952192437327,61.32527450743002,55.46294780108459,1650.0,3.8,85.0
LOT-C-063,LOT-C,1435.146059324366,1418.492990634927,2.5910522238390628,3.2224737703768103,62.97618719579595,59.83723769824905,1650.0,3.8,85.0
LOT-A-064,LOT-A,1403.1779387878712,1444.6440402077326,2.3469620419459236,2.131513868951209,62.52359856061483,58.09070644983895,1650.0,3.8,85.0
LOT-B-065,LOT-B,1494.4842908691721,1491.6313254431025,2.725425379588926,2.348303849405271,64.3153425349314,62.87927332546902,1650.0,3.8,85.0
LOT-C-066,LOT-C,1434.4475175439006,1432.7558824000332,2.010085418089755,2.037963617313561,65.5744165589422,62.60119360157825,1650.0,3.8,85.0
LOT-A-067,LOT-A,1458.656994045105,1489.0718363150731,1.8800602514951776,2.2490783763789137,62.78900679559282,65.3428454973282,1650.0,3.8,85.0
LOT-B-068,LOT-B,1434.9170219839561,1490.2255277733098,2.463118481648891,2.111717715575085,57.8115630080421,67.28571398432473,1650.0,3.8,85.0
LOT-C-069,LOT-C,1468.5532582582423,1367.2394279617229,2.8043136911587228,2.6913686499500438,68.04504344463425,61.6966058589471,1650.0,3.8,85.0
LOT-A-070,LOT-A,1438.171751146707,1399.6888024404445,3.161078871039566,2.4438546478697125,69.14389936436875,60.45772547847979,1650.0,3.8,85.0
LOT-B-071,LOT-B,1456.5536476933241,1376.8031955640568,2.285139855369969,2.814801570688009,56.367152829914765,68.53946946119268,1650.0,3.8,85.0
LOT-C-072,LOT-C,1463.4895126339386,1403.1540611506612,2.249520818572298,2.353098983454268,61.77716297925874,60.980123360067466,1650.0,3.8,85.0
LOT-A-073,LOT-A,1416.9084839678185,1434.2073164943777,2.091933078417285,2.0873514967542155,61.78320582871689,67.64950886010647,1650.0,3.8,85.0
LOT-B-074,LOT-B,1388.8251317953054,2651.5551103512535,2.2050131415596113,2.1873134601168993,65.84046943721579,61.06460246127387,1650.0,3.8,85.0
LOT-C-075,LOT-C,1509.9320673225952,1414.2467467058514,2.5159505980877497,2.427269437901695,58.606901858931366,66.26207270011544,1650.0,3.8,85.0
LOT-A-076,LOT-A,1443.8006970770077,1472.3348443899731,2.385812547834901,2.1525387983035396,61.54068840564992,63.744189296725864,1650.0,3.8,85.0
LOT-B-077,LOT-B,1488.3385181552478,1408.9367016919225,2.3882010440198083,1.9489988063263874,64.93171877154492,58.417030019188964,1650.0,3.8,85.0
LOT-C-078,LOT-C,1377.7456191566557,1444.512892960461,2.7317054875988536,2.0121769765721997,57.10383986575208,60.006608012049576,1650.0,3.8,85.0
LOT-A-079,LOT-A,1404.8201341463198,1462.9359713100525,2.1577897664866543,2.2691152843327353,64.6248742940704,59.949081234447185,1650.0,3.8,85.0
LOT-B-080,LOT-B,1467.3112039112289,1406.2018227809542,2.036358445735413,1.9126562274589047,70.37541254110278,61.99478254898432,1650.0,3.8,85.0
LOT-C-081,LOT-C,1459.757334717937,1445.6959206228064,2.447988527102179,2.515899673399799,70.58697667641215,58.61704502250141,1650.0,3.8,85.0
LOT-A-082,LOT-A,1387.701515756073,1404.4976939236572,1.999587297072436,2.7390278567942214,65.6917019429199,58.98181693779347,1650.0,3.8,85.0
LOT-B-083,LOT-B,1394.3825689414803,1432.098540568074,2.817337163362918,1.5977377863045388,64.36982046057143,58.44395043099165,1650.0,3.8,85.0
LOT-C-084,LOT-C,1491.614685861651,1401.7271944831764,2.314375251835248,2.01799068779534,57.60233967275856,70.01344406631675,1650.0,3.8,85.0
LOT-A-085,LOT-A,1482.8231474356023,1430.1299376096715,2.1389482889387232,1.8939817163162194,60.22854479644557,63.3547547128444,1650.0,3.8,85.0
LOT-B-086,LOT-B,1446.6378256866205,1443.0607390250009,2.063457111831922,2.478792356683002,61.825969792092025,69.56564157767494,1650.0,3.8,85.0
LOT-C-087,LOT-C,1524.6693381740945,1441.2464608694527,2.170108214647234,2.4792057184761718,59.26570426135503,60.01056106599263,1650.0,3.8,85.0
LOT-A-088,LOT-A,1447.6539939231143,1403.1812138916027,2.5818320253465052,1197.8888392467702,63.125037380869784,62.64018183093784,1650.0,3.8,85.0
LOT-B-089,LOT-B,1420.9098221099034,1407.1856984905482,2.328817198702638,2.3243966920231003,63.05255599944309,63.47917099497109,1650.0,3.8,85.0
LOT-C-090,LOT-C,1395.5077300830908,1449.8190945759907,1.9971418748577727,2.30272715983383,60.67540875851969,53.74621559381684,1650.0,3.8,85.0
LOT-A-091,LOT-A,1453.6602979143993,1453.341300688002,2.352592741972598,2.36421847280909,60.31878352951337,58.91026449752803,1650.0,3.8,85.0
LOT-B-092,LOT-B,1439.2119852108476,1423.7903042523758,2.4275056178062195,2.1146764513456455,63.06015459055015,64.17312879934505,1650.0,3.8,85.0
LOT-C-093,LOT-C,1444.3374867128512,1428.5533974303758,2.5657019677410338,1.9673274538259633,64.07204002165304,64.64227609109474,1650.0,3.8,85.0
LOT-A-094,LOT-A,1461.3350517013846,1463.0991288821724,2.203906678022145,2.4169727813435404,64.86676249047358,65.52400444719062,1650.0,3.8,85.0
LOT-B-095,LOT-B,1458.268510617706,1383.3985497049757,2.5613661344649623,2.874230717437794,66.54352171869286,64.5992268292148,1650.0,3.8,85.0
LOT-C-096,LOT-C,1387.6928558558322,1486.5868821975769,2.35582360898407,1.689593712618571,63.697433313982415,56.48679261952618,1650.0,3.8,85.0
LOT-A-097,LOT-A,1398.1423767921974,1420.3317265202982,2.7817773533648653,2.3813294866629144,63.21946214481522,71.71544942963548,1650.0,3.8,85.0
LOT-B-098,LOT-B,1513.7611905062317,1442.6591565352508,2.3275436933818465,2.096521397091344,58.87493866618284,65.49918423378001,1650.0,3.8,85.0
LOT-C-099,LOT-C,1465.829230472386,1451.6300057093063,2.6984404972691776,2.252842235829382,61.747655659174406,66.93684204592562,1650.0,3.8,85.0
LOT-A-100,LOT-A,1473.3658362491167,1491.9797225807615,2.519106122029518,2.400991182209014,63.629865171180796,58.787802576994686,1650.0,3.8,85.0
LOT-B-101,LOT-B,1384.4216267382749,1471.3882147976815,2.3834579001536973,2.5986910804534427,54.36042036271362,61.78396408379048,1650.0,3.8,85.0
LOT-C-102,LOT-C,1897.4999999999998,1410.7030911810598,1.7234954980612618,4.369999999999999,66.03786929674786,97.74999999999999,1650.0,3.8,85.0
LOT-A-103,LOT-A,1425.9621356133678,1446.3752091906874,2.6270400240714027,1.616666283950658,61.43958553937013,66.05304069175276,1650.0,3.8,85.0
LOT-B-104,LOT-B,1477.285145009367,1518.4306686944212,2.740513703728944,2.600020107118799,63.35889202751942,67.19864313557461,1650.0,3.8,85.0
LOT-C-105,LOT-C,1428.4269202103064,1445.3121016923862,2.671871700923561,3.126382468766429,61.28329712420716,63.27251676014964,1650.0,3.8,85.0
LOT-A-106,LOT-A,1457.9392077515072,1503.4145551483384,2.3909060089232548,2.9701948916707663,57.650042521570626,62.625629410036126,1650.0,3.8,85.0
LOT-B-107,LOT-B,1442.073393732579,1480.0332404120413,2.7135781130934835,2.0169778054021656,57.88197068384949,65.08320665024937,1650.0,3.8,85.0
LOT-C-108,LOT-C,1423.6522541645675,1383.058033422799,2.711543991607044,2.6580704269291675,64.21929873587337,61.26540513270335,1650.0,3.8,85.0
LOT-A-109,LOT-A,1491.1575380866927,1436.9216801500609,2.7289305833468855,2.2082671516983607,58.1563904854229,64.46191708980918,1650.0,3.8,85.0
LOT-B-110,LOT-B,1421.9067141681176,1475.3689447454908,2.478026323238716,2.2046492102838084,62.327895204252954,61.84899486551938,1650.0,3.8,85.0
LOT-C-111,LOT-C,1486.633313167082,1420.4327747065154,2.268248071358136,2.887595809720427,72.07367025159131,72.89534072187129,1650.0,3.8,85.0
LOT-A-112,LOT-A,1452.5289204664243,1456.1918976968655,2.860037598684798,2.460180862001718,57.60642888288185,64.04931530795061,1650.0,3.8,85.0
LOT-B-113,LOT-B,1468.0606712212852,1412.1757160516336,1.9061306575502543,2.0402465553426876,64.99443177877548,59.935630373334334,1650.0,3.8,85.0
LOT-C-114,LOT-C,1444.3461163051554,1455.9274647421892,2.5857422637284126,2.3928311044116883,64.24422065216271,59.31671662703204,1650.0,3.8,85.0
LOT-A-115,LOT-A,1435.5314389728794,1403.9745453129094,2.739530164908575,2.4913333670185627,58.673116305663655,61.84385254909381,1650.0,3.8,85.0
LOT-B-116,LOT-B,1441.130860771069,1476.4218312356504,1.9213091465444292,2.168094130679866,60.298517367991266,75.4018374140087,1650.0,3.8,85.0
LOT-C-117,LOT-C,1488.2271557012798,1442.3190294765004,1216.0658955247955,3.1583795742817076,60.94815232951075,61.777857282741465,1650.0,3.8,85.0
LOT-A-118,LOT-A,1498.4777417288758,1467.7553709215836,2.601399946596767,2.337368832230214,70.65891409554234,71.53507676749021,1650.0,3.8,85.0
LOT-B-119,LOT-B,1472.63791155491,1475.740173202184,1.7918217383270894,2.7040671339191067,61.126511357486045,65.53935681739264,1650.0,3.8,85.0
LOT-C-120,LOT-C,1477.298376473844,1432.6657457394524,1.8928554599438745,2.617719860823755,58.66377356401822,61.948087764195606,1650.0,3.8,85.0
LOT-A-121,LOT-A,1425.8196062362322,1432.6538812792821,1.7071437128202174,2.8894230807140855,63.14005746046913,68.72357653571866,1650.0,3.8,85.0
LOT-B-122,LOT-B,1529.1936731923975,1447.9489111476355,1.8592691232478273,2.2139562078785326,56.5689298359648,61.14118917721851,1650.0,3.8,85.0
LOT-C-123,LOT-C,1453.185919122639,1362.908134785024,2.5027426480024655,2.016685870948519,63.33814368260005,62.985391617668185,1650.0,3.8,85.0
LOT-A-124,LOT-A,1437.4547504322968,1443.9321916504648,2.2380665952804923,2.3040091381106644,54.42759624109001,63.360751620208156,1650.0,3.8,85.0
LOT-B-125,LOT-B,1523.8213484249327,1530.1807926411534,2.7965452789634826,2.7258565122724985,58.95583944164005,70.28092870461643,1650.0,3.8,85.0
LOT-C-126,LOT-C,1447.7548978223613,1444.1072285899509,2.3126318604482203,2.5294278076858547,60.04153294285375,63.1062238039464,1650.0,3.8,85.0
LOT-A-127,LOT-A,1406.6160356509095,1431.3061244008982,3.0841669409849466,2.477729911052177,60.92602745852707,66.00215911179374,1650.0,3.8,85.0
LOT-B-128,LOT-B,1478.3248728681385,1400.2217079147729,2.3378523651590264,2.793848269099125,63.21426933082447,64.07318400445833,1650.0,3.8,85.0
LOT-C-129,LOT-C,1512.1607067443492,1418.5335440951349,2.4248237685322898,2.333581227118377,68.70638703084309,54.3262561234003,1650.0,3.8,85.0
LOT-A-130,LOT-A,1423.1943321806496,1424.7754074268275,2.599061886951477,2.6940081523550488,68.27837417107429,56.10204564101457,1650.0,3.8,85.0
LOT-B-131,LOT-B,1480.0190003612192,1434.6822456998912,2.200312428822547,2.6726619306792068,57.85937187768958,53.738507512022686,1650.0,3.8,85.0
LOT-C-132,LOT-C,1435.1912604430945,1384.09362423104,2.2053252536787964,2.618897524400352,63.40399885526371,70.95842741019926,1650.0,3.8,85.0
LOT-A-133,LOT-A,1442.0138101222606,1382.60007319699,2.1731709430092963,2.205797048119593,56.51978678693788,65.54622581657257,1650.0,3.8,85.0
LOT-B-134,LOT-B,1424.1907064813904,1363.9503416991456,2.6090768409357636,2.4643434980138537,63.605767752586424,63.99689126008992,1650.0,3.8,85.0
LOT-C-135,LOT-C,1475.266189365935,1448.5967873746524,2.7708607450434632,2.635994492792712,63.76430430524781,65.42637451310802,1650.0,3.8,85.0
LOT-A-136,LOT-A,1391.734490297251,1440.0852984242438,2.3222050531351504,2.566414950771355,55.885876260666684,71.18033945139668,1650.0,3.8,85.0
LOT-B-137,LOT-B,1454.1755465662611,1396.1246632926716,1.8873339109263485,2.409988066009386,61.5964606418309,60.12402719592037,1650.0,3.8,85.0
LOT-C-138,LOT-C,1453.684553116957,1420.0706177759384,2.5654974755118896,2.268146618115557,61.826748987027834,68.10054411480205,1650.0,3.8,85.0
LOT-A-139,LOT-A,1552.8667553164116,1404.6789859095145,2.26064766897387,2.231252576704021,65.52947744796174,58.10393326312745,1650.0,3.8,85.0
LOT-B-140,LOT-B,1430.6257181762765,1445.7567461040246,2.106396438156077,2.193655986461062,59.85969700345161,53.6279308704144,1650.0,3.8,85.0
LOT-C-141,LOT-C,1392.1808713170667,1429.6525683126868,2.4444691909025997,2.4405568044948502,54.01714087322272,61.32020442872801,1650.0,3.8,85.0
LOT-A-142,LOT-A,1481.937505620247,1470.3463515036356,2.3763756415416495,2.2160416399685747,64.84047366928493,60.77903378831325,1650.0,3.8,85.0
LOT-B-143,LOT-B,1403.2300639010393,1413.308178123205,2.8345035875322457,2.570457612224542,67.21661173871468,61.24711932744597,1650.0,3.8,85.0
LOT-C-144,LOT-C,1487.5259735674058,1421.7368301680408,2.3527717892901507,3.295632083185822,65.45216884534828,61.14449923595984,1650.0,3.8,85.0
LOT-A-145,LOT-A,1446.6072384389313,1460.701383677197,2.763137276854771,2.343477410665552,54.16406411927984,62.18568347830635,1650.0,3.8,85.0
LOT-B-146,LOT-B,1450.6154182865503,1451.6005946868802,2.7950070408547987,2.601339865057897,65.65812637236193,58.32476563855343,1650.0,3.8,85.0
LOT-C-147,LOT-C,1484.716059536982,1535.0412329295639,2.631872787075053,2.5811378303810297,62.69294684783485,71.89956852342222,1650.0,3.8,85.0
LOT-A-148,LOT-A,1412.9127406643654,1442.33370096593,2.538062277881464,2.7380803545002235,60.03202442431226,64.94441055521801,1650.0,3.8,85.0
LOT-B-149,LOT-B,1438.8831407459552,1452.0597875776537,2.360372537887831,2.134690023086224,61.904988867394486,67.62261215369062,1650.0,3.8,85.0
LOT-C-150,LOT-C,1411.3192683383331,1436.874146551457,2.5994340193371444,2.1576431658409048,62.82187251878671,58.517389850918846,1650.0,3.8,85.0
LOT-A-151,LOT-A,1495.385220033351,1544.1384980389541,3.006676585273729,2.429862183112596,65.33089607933282,64.06868932395074,1650.0,3.8,85.0
LOT-B-152,LOT-B,1454.0842358427715,1512.005796559389,2.0042461271447536,2.837694271189157,61.7796080217992,70.12014091683947,1650.0,3.8,85.0
LOT-C-153,LOT-C,1457.4893347559778,1418.7477762299002,2.4831421130254148,2.735509470409499,62.160936533500376,65.79377989981602,1650.0,3.8,85.0
LOT-A-154,LOT-A,1429.1329929719207,1357.376876164507,2.6700070751320024,2.7237311155789725,62.6668027307645,63.82152964238852,1650.0,3.8,85.0
LOT-B-155,LOT-B,1491.4518307741896,1427.8015175299845,2.1880397803924443,2.4396640417612847,67.35093734848189,56.98056934995692,1650.0,3.8,85.0
LOT-C-156,LOT-C,1497.6731997045604,1420.1513801233684,2.0697769500827934,2.903219787565542,61.563994573417126,57.38889848739086,1650.0,3.8,85.0
LOT-A-157,LOT-A,1435.6506776377428,1486.1042020972554,2.7576222577865317,2.3633284217852637,63.828443415937734,66.85619777225382,1650.0,3.8,85.0
LOT-B-158,LOT-B,1424.2149402513458,1461.9115151569906,2.3904366255733316,2.32847218864861,59.785334290794836,63.815062064775894,1650.0,3.8,85.0
LOT-C-159,LOT-C,1451.1941394783453,1423.2494219603777,2.272216467479952,2.856267916268908,62.96222210829642,67.65994352296492,1650.0,3.8,85.0
LOT-A-160,LOT-A,1498.0728892774969,1471.731374904861,3.0812658940147295,2.2359027098355537,65.63784316887032,62.00472332675387,1650.0,3.8,85.0
LOT-B-161,LOT-B,1524.2313305348512,1518.4184850984818,1.8137366453979777,2.1899628023961983,64.98940809857454,67.21237588645704,1650.0,3.8,85.0
LOT-C-162,LOT-C,1479.462568646371,1444.0236562167197,2.536536247369043,2.7089668594516234,61.64957928708204,68.32831925129966,1650.0,3.8,85.0
LOT-A-163,LOT-A,1359.6201100356382,1473.6193278219396,2.089784216314282,2.8067768985502046,60.9709200879896,59.32269982590508,1650.0,3.8,85.0
LOT-B-164,LOT-B,1464.9560862697697,1408.7239930904777,2.1261696307333815,1.9984658060950107,61.87981510340849,65.83507055194693,1650.0,3.8,85.0
LOT-C-165,LOT-C,1490.9210394452498,1441.0474298048616,-1195.7360238821598,2.5057475120431367,61.58020183559201,66.19574585493162,1650.0,3.8,85.0
LOT-A-166,LOT-A,1492.3357110450304,1432.6597529127391,2.3268715134132125,2.4485339504960515,62.37246107146328,59.26808141485579,1650.0,3.8,85.0
LOT-B-167,LOT-B,1491.1202424026515,1430.18279546531,2.538733037033359,2.235848776888344,63.61461778764002,65.34048717402658,1650.0,3.8,85.0
LOT-C-168,LOT-C,1433.1727437281065,1531.87735618588,2.511311988372571,3.068617255352763,66.31612515754156,60.38730840683649,1650.0,3.8,85.0
LOT-A-169,LOT-A,1434.7125273736842,1465.3162868290037,2.418351759551625,2.5158275653628586,60.71207770531452,55.000161128017325,1650.0,3.8,85.0
LOT-B-170,LOT-B,1440.9826942631723,1353.8388985152442,2.511545870635481,2.267661508023134,58.780624732225355,62.4692721605391,1650.0,3.8,85.0
LOT-C-171,LOT-C,1460.9068938518346,1386.8557405350898,1.875419643133978,2.1588589211200597,52.81222614110575,58.9558068335203,1650.0,3.8,85.0
LOT-A-172,LOT-A,1513.6353212209187,1402.6233915071239,2.595421552470055,2.061076861355157,63.346040686576224,61.99725108260039,1650.0,3.8,85.0
LOT-B-173,LOT-B,1447.607488578629,1470.8886589634367,2.926872037594854,2.5623060319466475,62.559615281282426,58.92517172783312,1650.0,3.8,85.0
LOT-C-174,LOT-C,1473.3335862132933,1436.6649621170986,2.649602112872529,2.4860139358448086,69.83385066714433,54.18029243525391,1650.0,3.8,85.0
LOT-A-175,LOT-A,1438.136025593797,1484.022228829653,2.294792340874504,2.2465046179182524,60.80353727417188,57.014334886245514,1650.0,3.8,85.0
LOT-B-176,LOT-B,1454.7581508675908,1549.4993972872753,2.7435094494680183,2.1451170859151136,58.069965129522686,61.59777929759447,1650.0,3.8,85.0
